200	0.0149590969086	seleccion	MacOSx	

400	0.0304458141327	seleccion	MacOSx	

600	0.0611820220947	seleccion	MacOSx	

800	0.081879835129	seleccion	MacOSx	

1000	0.152629852295	seleccion	MacOSx	

1200	0.208280086517	seleccion	MacOSx	

1400	0.273372888565	seleccion	MacOSx	

1600	0.365778923035	seleccion	MacOSx	

1800	0.0103999042511	seleccion	MacOSx	

2000	0.011905994415	seleccion	MacOSx	

2200	0.0126180648804	seleccion	MacOSx	

2400	0.0135819911957	seleccion	MacOSx	

2600	0.0152959823608	seleccion	MacOSx	

2800	0.0167479515076	seleccion	MacOSx	

3000	0.0180549621582	seleccion	MacOSx	

3200	0.0198950767517	seleccion	MacOSx	

3400	0.0234620571136	seleccion	MacOSx	

3600	0.0238270759583	seleccion	MacOSx	

3800	0.0276510715485	seleccion	MacOSx	

4000	0.0292840003967	seleccion	MacOSx	

4200	0.0341880321503	seleccion	MacOSx	

4400	0.0359959602356	seleccion	MacOSx	

4600	0.0365152359009	seleccion	MacOSx	

4800	0.0435681343079	seleccion	MacOSx	

5000	0.0404629707336	seleccion	MacOSx	

5200	0.0459420681	seleccion	MacOSx	

5400	0.0487108230591	seleccion	MacOSx	

5600	0.050213098526	seleccion	MacOSx	

5800	0.0541081428528	seleccion	MacOSx	

6000	0.054447889328	seleccion	MacOSx	

6200	0.0646941661835	seleccion	MacOSx	

6400	0.0636620521545	seleccion	MacOSx	

6600	0.0669529438019	seleccion	MacOSx	

6800	0.0701041221619	seleccion	MacOSx	

7000	0.0726690292358	seleccion	MacOSx	

7200	0.0792820453644	seleccion	MacOSx	

7400	0.0809738636017	seleccion	MacOSx	

7600	0.0900609493256	seleccion	MacOSx	

7800	0.0920419692993	seleccion	MacOSx	

8000	0.0925722122192	seleccion	MacOSx	

8200	0.0994248390198	seleccion	MacOSx	

8400	0.10342502594	seleccion	MacOSx	

8600	0.107594013214	seleccion	MacOSx	

8800	0.119843006134	seleccion	MacOSx	

9000	0.118161916733	seleccion	MacOSx	

9200	0.122745990753	seleccion	MacOSx	

9400	0.129055023193	seleccion	MacOSx	

9600	0.135245084763	seleccion	MacOSx	

9800	0.136317014694	seleccion	MacOSx	

10000	0.145084857941	seleccion	MacOSx	
