tamaño	tiempo

100	0.004646778106689453

200	0.003791332244873047

300	0.003981113433837891

400	0.0034132003784179688

500	0.0039522647857666016

600	0.0034372806549072266

700	0.0038077831268310547

800	0.0035293102264404297

900	0.0038912296295166016

1000	0.003583669662475586

1100	0.0033299922943115234

1200	0.003509998321533203

1300	0.0030791759490966797

1400	0.0031785964965820312

1500	0.003162384033203125

1600	0.0034677982330322266

1700	0.0032472610473632812

1800	0.0032989978790283203

1900	0.0039031505584716797

2000	0.0040819644927978516

2100	0.003961086273193359

2200	0.0040585994720458984

2300	0.004266977310180664

2400	0.0039598941802978516

2500	0.003968477249145508

2600	0.004078865051269531

2700	0.0039980411529541016

2800	0.004008054733276367

2900	0.0041654109954833984

3000	0.004060983657836914

3100	0.003893136978149414

3200	0.0043184757232666016

3300	0.003935575485229492

3400	0.0040891170501708984

3500	0.004033803939819336

3600	0.0040514469146728516

3700	0.004109382629394531

3800	0.003999233245849609

3900	0.003985881805419922

4000	0.004025936126708984

4100	0.00419163703918457

4200	0.004018068313598633

4300	0.004102468490600586

4400	0.004009723663330078

4500	0.004268646240234375

4600	0.00389862060546875

4700	0.003999471664428711

4800	0.0036923885345458984

4900	0.0037276744842529297

5000	0.003720521926879883
